order_id,order_timestamp,instrument_id,market_id,trader_id,side,quantity,limit_price,order_status,fill_rate
OR00054,2026-01-05 08:28:14,I011,M005,T002,Bid,50,110.34,Filled,1.0
OR00137,2026-01-05 08:46:04,I024,M001,T013,Bid,50,35.13,Filled,1.0
OR00124,2026-01-06 12:24:42,I024,M001,T005,Bid,150,43.14,Partially Filled,0.51
OR00089,2026-01-07 12:41:49,I012,M005,T005,Offer,50,85.22,Filled,1.0
OR00204,2026-01-07 14:01:28,I022,M011,T014,Bid,10,34.01,Partially Filled,0.67
OR00071,2026-01-07 15:17:06,I006,M002,T008,Offer,100,30.92,Partially Filled,0.76
OR00101,2026-01-08 09:44:39,I018,M008,T013,Offer,10,104.25,Open,0.0
OR00239,2026-01-08 10:37:50,I003,M001,T015,Offer,5,37.25,Filled,1.0
OR00216,2026-01-08 13:44:33,I007,M003,T012,Offer,10,24.91,Partially Filled,0.64
OR00299,2026-01-08 17:06:46,I006,M002,T008,Bid,25,34.91,Partially Filled,0.26
OR00241,2026-01-09 13:53:47,I009,M004,T018,Bid,20,41.32,Cancelled,0.0
OR00120,2026-01-11 09:10:15,I007,M003,T006,Offer,200,34.79,Partially Filled,0.6
OR00232,2026-01-11 14:10:32,I023,M012,T014,Bid,5,84.99,Filled,1.0
OR00257,2026-01-11 15:58:30,I007,M003,T014,Bid,5,43.27,Cancelled,0.0
OR00220,2026-01-11 16:05:50,I023,M012,T001,Offer,20,102.68,Cancelled,0.0
OR00108,2026-01-13 13:10:11,I006,M002,T014,Offer,200,28.42,Filled,1.0
OR00067,2026-01-13 13:35:15,I010,M005,T017,Bid,5,126.32,Partially Filled,0.54
OR00104,2026-01-13 16:59:47,I012,M005,T002,Offer,200,143.44,Partially Filled,0.3
OR00197,2026-01-14 14:39:04,I017,M008,T010,Offer,100,97.74,Cancelled,0.0
OR00282,2026-01-16 14:57:54,I018,M008,T018,Bid,5,104.85,Filled,1.0
OR00011,2026-01-17 13:36:02,I010,M005,T007,Bid,50,127.5,Open,0.0
OR00105,2026-01-17 14:35:30,I016,M007,T019,Bid,10,101.33,Filled,1.0
