metric_date,market_id,messages_processed,peak_latency_ms,uptime_pct,active_users,order_throughput
2026-01-05,M001,1501826,10,99.682,273,11297
2026-01-11,M001,523565,13,99.849,316,10969
2026-01-17,M001,276063,35,99.62,415,6697
2026-01-23,M001,1735063,60,99.965,547,19289
2026-01-29,M001,1017332,50,99.558,324,2221
2026-02-04,M001,2110415,84,99.246,282,10603
2026-02-10,M001,1730792,115,99.359,259,13850
2026-02-16,M001,450675,106,99.563,48,4149
2026-02-22,M001,2119389,50,99.206,489,4691
2026-02-28,M001,196578,71,99.269,366,16024
2026-03-06,M001,2251814,143,99.32,444,4912
2026-03-12,M001,1238902,55,99.624,588,3509
2026-03-18,M001,2051038,37,99.934,598,16789
2026-03-24,M001,626229,4,99.567,175,6261
2026-03-30,M001,1812452,96,99.61,209,13799
2026-04-05,M001,2077871,70,99.841,398,17638
2026-04-11,M001,878842,123,99.565,338,1205
2026-04-17,M001,635874,9,99.733,119,3661
2026-04-23,M001,2177648,135,99.47,627,9869
2026-04-29,M001,1966207,56,99.474,175,5043
2026-05-05,M001,2296825,116,99.946,475,16574
2026-05-11,M001,976555,16,99.353,600,6149
2026-05-17,M001,663600,122,99.608,582,22456
2026-05-23,M001,2263084,101,99.779,552,18391
2026-05-29,M001,1675905,105,99.931,620,8035
2026-06-04,M001,2359738,85,99.788,553,23029
2026-06-10,M001,1601273,34,99.384,255,15722
2026-06-16,M001,1746808,75,99.224,350,4813
2026-06-22,M001,1600284,52,99.599,497,22262
2026-06-28,M001,191989,117,99.2,302,2492
2026-01-05,M002,353993,4,99.938,523,1337
2026-01-11,M002,841032,49,99.879,212,5528
2026-01-17,M002,1209094,73,99.723,170,5759
2026-01-23,M002,1625454,64,99.922,105,23353
2026-01-29,M002,835005,56,99.928,347,7535
2026-02-04,M002,580213,89,99.734,125,14928
2026-02-10,M002,1566110,86,99.301,402,3071
2026-02-16,M002,2023323,61,99.566,400,17557
2026-02-22,M002,240301,29,99.41,463,15105
2026-02-28,M002,437916,35,99.726,246,6702
2026-03-06,M002,1237943,34,99.529,227,9952
2026-03-12,M002,1827762,87,99.733,51,15233
2026-03-18,M002,514939,35,99.609,376,13239
2026-03-24,M002,2304581,133,99.354,393,20414
2026-03-30,M002,1500793,122,99.873,217,22663
2026-04-05,M002,2385663,30,99.274,193,2191
2026-04-11,M002,1248710,15,99.807,227,7679
2026-04-17,M002,2397942,11,99.318,540,4449
2026-04-23,M002,2299062,142,99.23,146,19749
2026-04-29,M002,1086815,16,99.819,606,17593
2026-05-05,M002,1411982,115,99.27,510,7037
2026-05-11,M002,1374668,130,99.367,429,9919
2026-05-17,M002,2188022,130,99.745,452,13551
2026-05-23,M002,1260814,36,99.424,168,4078
2026-05-29,M002,1621746,83,99.422,303,25683
2026-06-04,M002,1724691,26,99.58,397,10858
2026-06-10,M002,1414982,11,99.39,209,17217
2026-06-16,M002,1582932,37,99.243,366,9444
2026-06-22,M002,825946,86,99.403,418,20592
2026-06-28,M002,985054,132,99.396,438,16582
2026-01-05,M003,300050,72,99.608,380,8562
2026-01-11,M003,743288,145,99.469,95,6226
2026-01-17,M003,739816,131,99.254,56,11824
2026-01-23,M003,1376690,143,99.498,314,5087
2026-01-29,M003,244673,62,99.866,68,8256
2026-02-04,M003,202785,61,99.538,251,4094
2026-02-10,M003,1079713,137,99.624,326,6763
2026-02-16,M003,1253499,55,99.312,611,9190
2026-02-22,M003,316011,102,99.848,475,16257
2026-02-28,M003,861568,61,99.42,199,10570
2026-03-06,M003,2122960,8,99.237,38,1935
2026-03-12,M003,2011269,122,99.874,617,16728
2026-03-18,M003,673717,32,99.63,240,1536
2026-03-24,M003,457365,5,99.764,501,19684
2026-03-30,M003,1631803,140,99.686,201,5543
2026-04-05,M003,1715444,57,99.46,229,7320
2026-04-11,M003,1174685,94,99.96,35,16041
2026-04-17,M003,1790463,128,99.925,135,9739
2026-04-23,M003,721010,118,99.635,70,23351
2026-04-29,M003,2127596,55,99.811,506,13596
2026-05-05,M003,1439189,111,99.84,93,13326
2026-05-11,M003,779049,50,99.498,165,6261
2026-05-17,M003,1027011,67,99.859,162,13539
2026-05-23,M003,363058,95,99.587,323,18547
2026-05-29,M003,1967486,70,99.737,603,8910
2026-06-04,M003,292719,37,99.941,525,6460
2026-06-10,M003,684292,86,99.985,430,16920
2026-06-16,M003,1152492,115,99.328,602,19597
2026-06-22,M003,2268395,34,99.499,416,21969
2026-06-28,M003,2061916,130,99.768,579,19937
2026-01-05,M004,2162817,15,99.296,635,12123
2026-01-11,M004,1743317,101,99.554,65,18606
2026-01-17,M004,588701,123,99.785,393,3078
2026-01-23,M004,1240365,88,99.321,551,13125
2026-01-29,M004,585726,120,99.503,292,23741
2026-02-04,M004,2294334,112,99.748,260,25645
2026-02-10,M004,290028,98,99.954,42,21471
2026-02-16,M004,2183777,10,99.813,278,24574
2026-02-22,M004,210193,141,99.865,235,2171
2026-02-28,M004,1684751,46,99.443,182,6938
2026-03-06,M004,1720243,98,99.719,316,22136
2026-03-12,M004,2111821,81,99.706,291,22954
2026-03-18,M004,1725543,41,99.215,323,24897
2026-03-24,M004,439462,114,99.229,478,3997
2026-03-30,M004,1415147,5,99.692,607,24405
2026-04-05,M004,1336319,76,99.866,308,14849
2026-04-11,M004,1809199,75,99.603,230,18511
2026-04-17,M004,2281569,101,99.646,394,8328
2026-04-23,M004,1117998,13,99.495,297,11590
2026-04-29,M004,1632535,89,99.254,285,5458
2026-05-05,M004,955040,53,99.212,299,22303
2026-05-11,M004,306183,137,99.926,245,3854
2026-05-17,M004,1018772,57,99.628,401,3136
2026-05-23,M004,832053,133,99.704,257,13884
2026-05-29,M004,343468,68,99.588,116,3647
2026-06-04,M004,1996870,47,99.663,189,8311
2026-06-10,M004,1924008,88,99.528,480,3637
2026-06-16,M004,1261328,70,99.965,461,1472
2026-06-22,M004,1537991,101,99.986,217,23851
2026-06-28,M004,512968,70,99.983,173,18858
2026-01-05,M005,1738062,144,99.855,411,14365
2026-01-11,M005,1009698,82,99.625,152,6249
2026-01-17,M005,1538020,12,99.288,194,25416
2026-01-23,M005,342590,38,99.46,503,16590
2026-01-29,M005,570617,75,99.27,37,12785
2026-02-04,M005,283822,78,99.52,55,11331
2026-02-10,M005,1499288,136,99.534,534,20261
2026-02-16,M005,1849784,88,99.511,534,25115
2026-02-22,M005,1287795,18,99.717,589,19678
2026-02-28,M005,1206398,103,99.627,324,914
2026-03-06,M005,1649578,118,99.495,358,7723
2026-03-12,M005,879083,18,99.514,378,22826
2026-03-18,M005,1339943,16,99.561,316,10250
2026-03-24,M005,1974547,6,99.891,630,10654
2026-03-30,M005,2335171,121,99.628,550,20506
2026-04-05,M005,1070265,128,99.648,37,21709
2026-04-11,M005,675480,138,99.339,35,16859
2026-04-17,M005,2182234,134,99.498,557,4117
2026-04-23,M005,2253064,15,99.225,306,19834
2026-04-29,M005,1748218,115,99.837,456,6887
2026-05-05,M005,2147388,89,99.928,156,7381
2026-05-11,M005,1626834,132,99.327,411,3884
2026-05-17,M005,346370,142,99.984,68,7466
2026-05-23,M005,2064376,46,99.688,637,21013
2026-05-29,M005,259302,59,99.729,70,24507
2026-06-04,M005,2305248,6,99.421,391,23455
2026-06-10,M005,1954824,41,99.394,122,3828
2026-06-16,M005,1362310,60,99.925,128,18075
