trade_id,trade_timestamp,instrument_id,market_id,trader_id,side,quantity,price,currency,notional_value,trade_status,clearing_house
TR00237,2026-01-05 09:28:26,I023,M012,T012,Sell,10,73.13,GBP,731300.0,Cleared,LCH
TR00089,2026-01-05 13:42:52,I019,M009,T012,Buy,500,110.96,EUR,39945600.0,Cleared,Nasdaq Clearing
TR00193,2026-01-06 08:35:46,I016,M007,T012,Sell,25,111.94,EUR,2014920.0,Cleared,ICE Clear Europe
TR00189,2026-01-07 09:07:30,I004,M001,T002,Buy,150,30.52,EUR,3296160.0,Executed,ICE Clear Europe
TR00138,2026-01-07 12:23:45,I008,M003,T012,Buy,500,28.44,EUR,10238400.0,Cleared,LCH
TR00109,2026-01-08 17:00:35,I019,M009,T005,Buy,100,96.4,EUR,6940800.0,Cleared,ICE Clear Europe
TR00003,2026-01-09 08:02:18,I018,M008,T018,Buy,10,83.27,GBP,599544.0,Cleared,Nasdaq Clearing
TR00085,2026-01-09 11:18:19,I004,M001,T010,Buy,20,35.66,EUR,513504.0,Settled,ECC
TR00247,2026-01-09 13:42:04,I009,M004,T012,Buy,100,31.5,EUR,2268000.0,Settled,LCH
TR00222,2026-01-11 17:35:07,I013,M006,T012,Buy,200,78.49,EUR,11302560.0,Settled,ECC
TR00238,2026-01-12 07:05:39,I009,M004,T005,Buy,25,39.76,EUR,715680.0,Settled,ICE Clear Europe
TR00043,2026-01-12 07:06:32,I020,M010,T004,Buy,20,86.3,EUR,1726000.0,Settled,ECC
TR00135,2026-01-13 09:21:02,I008,M003,T003,Buy,200,33.57,EUR,4834080.0,Cleared,Nasdaq Clearing
TR00255,2026-01-13 14:03:49,I016,M007,T006,Sell,50,65.87,EUR,2371320.0,Cleared,ICE Clear Europe
TR00008,2026-01-14 10:29:05,I022,M011,T014,Buy,250,46.17,EUR,8310600.0,Executed,ICE Clear Europe
TR00190,2026-01-14 11:10:08,I019,M009,T003,Buy,25,83.3,EUR,1499400.0,Settled,ECC
TR00223,2026-01-15 08:31:55,I022,M011,T004,Buy,500,40.33,EUR,14518800.0,Executed,ECC
TR00058,2026-01-15 11:57:40,I003,M001,T018,Buy,50,32.96,EUR,1186560.0,Executed,ECC
TR00154,2026-01-15 15:53:41,I009,M004,T006,Sell,150,45.48,EUR,4911840.0,Settled,LCH
TR00161,2026-01-15 16:55:01,I023,M012,T010,Buy,75,63.12,GBP,4734000.0,Settled,ECC
TR00073,2026-01-15 17:42:22,I002,M001,T005,Buy,250,33.36,EUR,6004800.0,Settled,ICE Clear Europe
TR00233,2026-01-16 08:13:00,I006,M002,T009,Sell,500,37.41,GBP,13467600.0,Settled,Nasdaq Clearing
TR00128,2026-01-16 09:57:26,I002,M001,T006,Sell,10,41.44,EUR,298368.0,Executed,ECC
TR00236,2026-01-17 11:08:54,I018,M008,T012,Sell,100,73.61,GBP,5299920.0,Cleared,ECC
TR00261,2026-01-18 10:00:43,I016,M007,T020,Buy,500,115.53,EUR,41590800.0,Cleared,ECC
TR00271,2026-01-18 14:10:44,I008,M003,T017,Sell,250,32.74,EUR,5893200.0,Executed,Nasdaq Clearing
TR00172,2026-01-19 12:52:25,I002,M001,T009,Buy,500,29.69,EUR,10688400.0,Settled,ECC
TR00280,2026-01-20 09:21:29,I022,M011,T014,Sell,5,38.58,EUR,138888.0,Settled,Nasdaq Clearing
TR00268,2026-01-20 12:26:25,I018,M008,T010,Sell,50,112.61,GBP,4053960.0,Settled,ECC
TR00267,2026-01-20 14:31:20,I009,M004,T011,Sell,150,33.24,EUR,3589920.0,Cleared,Nasdaq Clearing
TR00184,2026-01-21 11:31:47,I010,M005,T016,Sell,150,101.18,EUR,10927440.0,Settled,ECC
